"Source","CD","Location","Notes","Raw"
"Popis_1","80","VIS","","CD 80 VIS, OTOK VIS; LUKA I ŠEPURINE, OTOK PRVIĆ"
"Popis_1","80","OTOK VIS; LUKA I ŠEPURINE","","CD 80 VIS, OTOK VIS; LUKA I ŠEPURINE, OTOK PRVIĆ"
"Popis_1","80","OTOK PRVIĆ","","CD 80 VIS, OTOK VIS; LUKA I ŠEPURINE, OTOK PRVIĆ"
"Popis_1","81","PRVIĆ I ŠEPURINE","","CD 81 PRVIĆ I ŠEPURINE, OTOK PRVIĆ"
"Popis_1","81","OTOK PRVIĆ","","CD 81 PRVIĆ I ŠEPURINE, OTOK PRVIĆ"
"Popis_1","82","ŠEPURINE","","CD 82 ŠEPURINE, OTOK PRVIĆ; VODICE"
"Popis_1","82","OTOK PRVIĆ; VODICE","","CD 82 ŠEPURINE, OTOK PRVIĆ; VODICE"
"Popis_1","83","VODICE","","CD 83 VODICE"
"Popis_1","84","DUĆE - ROGAČ","","CD 84 DUĆE - ROGAČ, DALMACIJA"
"Popis_1","84","DALMACIJA","","CD 84 DUĆE - ROGAČ, DALMACIJA"
"Popis_1","85","PODSTRANA (SV. MARTIN - ŠĆADINE)","","CD 85 PODSTRANA (SV. MARTIN - ŠĆADINE), DALMACIJA"
"Popis_1","85","DALMACIJA","","CD 85 PODSTRANA (SV. MARTIN - ŠĆADINE), DALMACIJA"
"Popis_1","86","PODSTRANA (SV. MARTIN - ŠĆADINE)","","CD 86 PODSTRANA (SV. MARTIN - ŠĆADINE), DALMACIJA"
"Popis_1","86","DALMACIJA","","CD 86 PODSTRANA (SV. MARTIN - ŠĆADINE), DALMACIJA"
"Popis_1","87","GATA","","CD 87 GATA, DALMACIJA"
"Popis_1","87","DALMACIJA","","CD 87 GATA, DALMACIJA"
"Popis_1","88","TUGARE","","CD 88 TUGARE, DALMACIJA"
"Popis_1","88","DALMACIJA","","CD 88 TUGARE, DALMACIJA"
"Popis_1","89","TUGARE","","CD 89 TUGARE, DALMACIJA"
"Popis_1","89","DALMACIJA","","CD 89 TUGARE, DALMACIJA"
"Popis_1","90","SRIJANE - VELA NJIVA","","CD 90 SRIJANE - VELA NJIVA, DALMACIJA"
"Popis_1","90","DALMACIJA","","CD 90 SRIJANE - VELA NJIVA, DALMACIJA"
"Popis_1","91","JESENICE - SUMPETAR","","CD 91 JESENICE - SUMPETAR, DALMACIJA"
"Popis_1","91","DALMACIJA","","CD 91 JESENICE - SUMPETAR, DALMACIJA"
"Popis_1","92","JESENICE - SUMPETAR","","CD 92 JESENICE - SUMPETAR, DALMACIJA"
"Popis_1","92","DALMACIJA","","CD 92 JESENICE - SUMPETAR, DALMACIJA"
"Popis_1","93","JESENICE - SUMPETAR","","CD 93 JESENICE - SUMPETAR, DALMACIJA"
"Popis_1","93","DALMACIJA","","CD 93 JESENICE - SUMPETAR, DALMACIJA"
"Popis_1","94","JESENICE - SUMPETAR","","CD 94 JESENICE - SUMPETAR, DALMACIJA"
"Popis_1","94","DALMACIJA","","CD 94 JESENICE - SUMPETAR, DALMACIJA"
"Popis_1","95","JESENICE - SUMPETAR","","CD 95 JESENICE - SUMPETAR, DALMACIJA"
"Popis_1","95","DALMACIJA","","CD 95 JESENICE - SUMPETAR, DALMACIJA"
"Popis_1","96","KOSTANJE","","CD 96 KOSTANJE, DALMACIJA"
"Popis_1","96","DALMACIJA","","CD 96 KOSTANJE, DALMACIJA"
"Popis_1","97","KOSTANJE","","CD 97 KOSTANJE, DALMACIJA"
"Popis_1","97","DALMACIJA","","CD 97 KOSTANJE, DALMACIJA"
"Popis_1","98","KOSTANJE","","CD 98 KOSTANJE, DALMACIJA"
"Popis_1","98","DALMACIJA","","CD 98 KOSTANJE, DALMACIJA"
"Popis_1","99","KOSTANJE","","CD 99 KOSTANJE, DALMACIJA"
"Popis_1","99","DALMACIJA","","CD 99 KOSTANJE, DALMACIJA"
"Popis_1","100","A VRBNIK","","CD 100 A VRBNIK, KRK"
"Popis_1","100","KRK","","CD 100 A VRBNIK, KRK"
"Popis_1","100","B VRBNIK","","CD 100 B VRBNIK, KRK"
"Popis_1","100","KRK","","CD 100 B VRBNIK, KRK"
"Popis_1","100","C VRBNIK","","CD 100 C VRBNIK, BAŠKA DRAGA, JURANDVOR, KRK"
"Popis_1","100","BAŠKA DRAGA","","CD 100 C VRBNIK, BAŠKA DRAGA, JURANDVOR, KRK"
"Popis_1","100","JURANDVOR","","CD 100 C VRBNIK, BAŠKA DRAGA, JURANDVOR, KRK"
"Popis_1","100","KRK","","CD 100 C VRBNIK, BAŠKA DRAGA, JURANDVOR, KRK"
"Popis_1","101","SKRPČIĆI (ŽUPA LINARDIĆI)","","CD 101 SKRPČIĆI (ŽUPA LINARDIĆI), KRK"
"Popis_1","101","KRK","","CD 101 SKRPČIĆI (ŽUPA LINARDIĆI), KRK"
"Popis_1","102","SKRPČIĆI (ŽUPA LINARDIĆI)","","CD 102 SKRPČIĆI (ŽUPA LINARDIĆI), KRK"
"Popis_1","102","KRK","","CD 102 SKRPČIĆI (ŽUPA LINARDIĆI), KRK"
"Popis_1","103","SV. VID","","CD 103 SV. VID, KRK"
"Popis_1","103","KRK","","CD 103 SV. VID, KRK"
"Popis_1","104","BOGOVIĆI (DUBAŠNICA)","","CD 104 BOGOVIĆI (DUBAŠNICA), KRK"
"Popis_1","104","KRK","","CD 104 BOGOVIĆI (DUBAŠNICA), KRK"
"Popis_1","105","KRAS","","CD 105 KRAS, KRK"
"Popis_1","105","KRK","","CD 105 KRAS, KRK"
"Popis_1","106","KRAS I RASOPASNO","","CD 106 KRAS I RASOPASNO, KRK"
"Popis_1","106","KRK","","CD 106 KRAS I RASOPASNO, KRK"
"Popis_1","107","DOBRINJ","","CD 107 DOBRINJ, KRK"
"Popis_1","107","KRK","","CD 107 DOBRINJ, KRK"
"Popis_1","108","POLJICA","","CD 108 POLJICA, KRK"
"Popis_1","108","KRK","","CD 108 POLJICA, KRK"
"Popis_1","109","VRH","","CD 109 VRH, KRK"
"Popis_1","109","KRK","","CD 109 VRH, KRK"
"Popis_1","110","BAŠKA","","CD 110 BAŠKA, KRK"
"Popis_1","110","KRK","","CD 110 BAŠKA, KRK"
"Popis_1","111","JURANDVOR","","CD 111 JURANDVOR, KRK"
"Popis_1","111","KRK","","CD 111 JURANDVOR, KRK"
"Popis_1","112","PUNAT","","CD 112 PUNAT, KRK"
"Popis_1","112","KRK","","CD 112 PUNAT, KRK"
"Popis_1","113","PUNAT","","CD 113 PUNAT, KRK"
"Popis_1","113","KRK","","CD 113 PUNAT, KRK"
"Popis_1","114","RISIKA","","CD 114 RISIKA, KRK"
"Popis_1","114","KRK","","CD 114 RISIKA, KRK"
"Popis_1","115","BAŠKA DRAGA","","CD 115 BAŠKA DRAGA, KRK"
"Popis_1","115","KRK","","CD 115 BAŠKA DRAGA, KRK"
"Popis_1","116","BAŠKA DRAGA","","CD 116 BAŠKA DRAGA, KRK"
"Popis_1","116","KRK","","CD 116 BAŠKA DRAGA, KRK"
"Popis_1","117","BOGOVIĆI (DUBAŠNICA)","","CD 117 BOGOVIĆI (DUBAŠNICA), KRK"
"Popis_1","117","KRK","","CD 117 BOGOVIĆI (DUBAŠNICA), KRK"
"Popis_1","118","BOGOVIĆI","","CD 118 BOGOVIĆI, KRK"
"Popis_1","118","KRK","","CD 118 BOGOVIĆI, KRK"
"Popis_1","119","OMIŠALJ","","CD 119 OMIŠALJ, KRK"
"Popis_1","119","KRK","","CD 119 OMIŠALJ, KRK"
"Popis_1","120","OMIŠALJ I VRBNIK","","CD 120 OMIŠALJ I VRBNIK, KRK"
"Popis_1","120","KRK","","CD 120 OMIŠALJ I VRBNIK, KRK"
"Popis_1","121","VRBNIK","","CD 121 VRBNIK, KRK"
"Popis_1","121","KRK","","CD 121 VRBNIK, KRK"
"Popis_1","122","VRBNIK","","CD 122 VRBNIK, KRK"
"Popis_1","122","KRK","","CD 122 VRBNIK, KRK"
"Popis_1","123","VRBNIK","","CD 123 VRBNIK, KRK"
"Popis_1","123","KRK","","CD 123 VRBNIK, KRK"
"Popis_1","124","BAŠKA VODA","","CD 124 BAŠKA VODA, TUČEPI, DALMACIJA"
"Popis_1","124","TUČEPI","","CD 124 BAŠKA VODA, TUČEPI, DALMACIJA"
"Popis_1","124","DALMACIJA","","CD 124 BAŠKA VODA, TUČEPI, DALMACIJA"
"Popis_1","125","TUČEPI","","CD 125 TUČEPI, PODGORA, VELIKO BRDO, DALMACIJA"
"Popis_1","125","PODGORA","","CD 125 TUČEPI, PODGORA, VELIKO BRDO, DALMACIJA"
"Popis_1","125","VELIKO BRDO","","CD 125 TUČEPI, PODGORA, VELIKO BRDO, DALMACIJA"
"Popis_1","125","DALMACIJA","","CD 125 TUČEPI, PODGORA, VELIKO BRDO, DALMACIJA"
"Popis_1","126","VELIKO BRDO","","CD 126 VELIKO BRDO, DRIVENIK, ZAOSTROG, DALMACIJA"
"Popis_1","126","DRIVENIK","","CD 126 VELIKO BRDO, DRIVENIK, ZAOSTROG, DALMACIJA"
"Popis_1","126","ZAOSTROG","","CD 126 VELIKO BRDO, DRIVENIK, ZAOSTROG, DALMACIJA"
"Popis_1","126","DALMACIJA","","CD 126 VELIKO BRDO, DRIVENIK, ZAOSTROG, DALMACIJA"
"Popis_1","127","ZAOSTROG","","CD 127 ZAOSTROG, PODACA, BRIST, DALMACIJA"
"Popis_1","127","PODACA","","CD 127 ZAOSTROG, PODACA, BRIST, DALMACIJA"
"Popis_1","127","BRIST","","CD 127 ZAOSTROG, PODACA, BRIST, DALMACIJA"
"Popis_1","127","DALMACIJA","","CD 127 ZAOSTROG, PODACA, BRIST, DALMACIJA"
"Popis_1","128","BRIST","","CD 128 BRIST, MAKARSKA, DALMACIJA"
"Popis_1","128","MAKARSKA","","CD 128 BRIST, MAKARSKA, DALMACIJA"
"Popis_1","128","DALMACIJA","","CD 128 BRIST, MAKARSKA, DALMACIJA"
"Popis_1","129","ŽIVOGOŠĆE","","CD 129 ŽIVOGOŠĆE, BAST, DALMACIJA"
"Popis_1","129","BAST","","CD 129 ŽIVOGOŠĆE, BAST, DALMACIJA"
"Popis_1","129","DALMACIJA","","CD 129 ŽIVOGOŠĆE, BAST, DALMACIJA"
"Popis_1","130","BRELA DONJA","","CD 130 BRELA DONJA, IGRANE, DRAŠNICE, DALMACIJA"
"Popis_1","130","IGRANE","","CD 130 BRELA DONJA, IGRANE, DRAŠNICE, DALMACIJA"
"Popis_1","130","DRAŠNICE","","CD 130 BRELA DONJA, IGRANE, DRAŠNICE, DALMACIJA"
"Popis_1","130","DALMACIJA","","CD 130 BRELA DONJA, IGRANE, DRAŠNICE, DALMACIJA"
"Popis_1","131","VINJANI","","CD 131 VINJANI, RUNOVIĆ, ZMIJAVCI, SREDIŠNA, PROLOŽAC"
"Popis_1","131","RUNOVIĆ","","CD 131 VINJANI, RUNOVIĆ, ZMIJAVCI, SREDIŠNA, PROLOŽAC"
"Popis_1","131","ZMIJAVCI","","CD 131 VINJANI, RUNOVIĆ, ZMIJAVCI, SREDIŠNA, PROLOŽAC"
"Popis_1","131","SREDIŠNA","","CD 131 VINJANI, RUNOVIĆ, ZMIJAVCI, SREDIŠNA, PROLOŽAC"
"Popis_1","131","PROLOŽAC","","CD 131 VINJANI, RUNOVIĆ, ZMIJAVCI, SREDIŠNA, PROLOŽAC"
"Popis_1","133","ŽUPA BIOKOVSKA","","CD 133 ŽUPA BIOKOVSKA, ZAGVOZD, IMOTSKI, POLJICA IMOTSKA"
"Popis_1","133","ZAGVOZD","","CD 133 ŽUPA BIOKOVSKA, ZAGVOZD, IMOTSKI, POLJICA IMOTSKA"
"Popis_1","133","IMOTSKI","","CD 133 ŽUPA BIOKOVSKA, ZAGVOZD, IMOTSKI, POLJICA IMOTSKA"
"Popis_1","133","POLJICA IMOTSKA","","CD 133 ŽUPA BIOKOVSKA, ZAGVOZD, IMOTSKI, POLJICA IMOTSKA"
"Popis_1","135","IMOTSKI","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA – LOKVA, KATUNI-KREŠEVO"
"Popis_1","135","PODBABLJE","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA – LOKVA, KATUNI-KREŠEVO"
"Popis_1","135","LOKVIČIĆI","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA – LOKVA, KATUNI-KREŠEVO"
"Popis_1","135","CISTA VELIKA","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA – LOKVA, KATUNI-KREŠEVO"
"Popis_1","135","ROGOZNICA – LOKVA","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA – LOKVA, KATUNI-KREŠEVO"
"Popis_1","135","KATUNI-KREŠEVO","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA – LOKVA, KATUNI-KREŠEVO"
"Popis_1","134","RIČICE","","CD 134 RIČICE, STUDENCI, IMOTSKI"
"Popis_1","134","STUDENCI","","CD 134 RIČICE, STUDENCI, IMOTSKI"
"Popis_1","134","IMOTSKI","","CD 134 RIČICE, STUDENCI, IMOTSKI"
"Popis_1","135","IMOTSKI","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA, KATUNI-KREŠEVO"
"Popis_1","135","PODBABLJE","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA, KATUNI-KREŠEVO"
"Popis_1","135","LOKVIČIĆI","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA, KATUNI-KREŠEVO"
"Popis_1","135","CISTA VELIKA","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA, KATUNI-KREŠEVO"
"Popis_1","135","ROGOZNICA","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA, KATUNI-KREŠEVO"
"Popis_1","135","KATUNI-KREŠEVO","","CD 135 IMOTSKI, PODBABLJE, LOKVIČIĆI, CISTA VELIKA, ROGOZNICA, KATUNI-KREŠEVO"
"Popis_1","136","KATUNI-KREŠEVO","","CD 136 KATUNI-KREŠEVO, BLATO NA CETINI, SLIME, ZADVARJE, KRSTATICE"
"Popis_1","136","BLATO NA CETINI","","CD 136 KATUNI-KREŠEVO, BLATO NA CETINI, SLIME, ZADVARJE, KRSTATICE"
"Popis_1","136","SLIME","","CD 136 KATUNI-KREŠEVO, BLATO NA CETINI, SLIME, ZADVARJE, KRSTATICE"
"Popis_1","136","ZADVARJE","","CD 136 KATUNI-KREŠEVO, BLATO NA CETINI, SLIME, ZADVARJE, KRSTATICE"
"Popis_1","136","KRSTATICE","","CD 136 KATUNI-KREŠEVO, BLATO NA CETINI, SLIME, ZADVARJE, KRSTATICE"
"Popis_1","137","DONJE SITNO (POLJICA)","","CD 137 DONJE SITNO (POLJICA), DALMACIJA"
"Popis_1","137","DALMACIJA","","CD 137 DONJE SITNO (POLJICA), DALMACIJA"
"Popis_1","138","PAG I KRK","","CD 138 PAG I KRK"
"Popis_1","139","A OTOK KRK","","CD 139 A OTOK KRK"
"Popis_1","139","B OTOK KRK","","CD 139 B OTOK KRK"
"Popis_1","140","NOVALJA","","CD 140 NOVALJA, NOVI VINODOLSKI, CRES, SESTRUN, SUKOŠAN"
"Popis_1","140","NOVI VINODOLSKI","","CD 140 NOVALJA, NOVI VINODOLSKI, CRES, SESTRUN, SUKOŠAN"
"Popis_1","140","CRES","","CD 140 NOVALJA, NOVI VINODOLSKI, CRES, SESTRUN, SUKOŠAN"
"Popis_1","140","SESTRUN","","CD 140 NOVALJA, NOVI VINODOLSKI, CRES, SESTRUN, SUKOŠAN"
"Popis_1","140","SUKOŠAN","","CD 140 NOVALJA, NOVI VINODOLSKI, CRES, SESTRUN, SUKOŠAN"
"Popis_1","141","POSEDARJE","","CD 141 POSEDARJE, ZADAR"
"Popis_1","141","ZADAR","","CD 141 POSEDARJE, ZADAR"
"Popis_1","142","(MJESTO SNIMANJA NIJE NAVEDENO","","CD 142 (MJESTO SNIMANJA NIJE NAVEDENO, SAMO ""IZBOR: JERKO BEZIĆ"")"
"Popis_1","142","SAMO ""IZBOR: JERKO BEZIĆ"")","","CD 142 (MJESTO SNIMANJA NIJE NAVEDENO, SAMO ""IZBOR: JERKO BEZIĆ"")"
"Popis_1","143","KOMIN","","CD 143 KOMIN, BAGALOVIĆ, NERETVANSKA KRAJINA"
"Popis_1","143","BAGALOVIĆ","","CD 143 KOMIN, BAGALOVIĆ, NERETVANSKA KRAJINA"
"Popis_1","143","NERETVANSKA KRAJINA","","CD 143 KOMIN, BAGALOVIĆ, NERETVANSKA KRAJINA"
"Popis_1","144","BAGALOVIĆ","","CD 144 BAGALOVIĆ, VID, NERETVANSKA KRAJINA"
"Popis_1","144","VID","","CD 144 BAGALOVIĆ, VID, NERETVANSKA KRAJINA"
"Popis_1","144","NERETVANSKA KRAJINA","","CD 144 BAGALOVIĆ, VID, NERETVANSKA KRAJINA"
"Popis_1","145","OPUZEN","","CD 145 OPUZEN, NERETVANSKA KRAJINA"
"Popis_1","145","NERETVANSKA KRAJINA","","CD 145 OPUZEN, NERETVANSKA KRAJINA"
"Popis_1","146","OPUZEN","","CD 146 OPUZEN, VIDONJE, NERETVANSKA KRAJINA"
"Popis_1","146","VIDONJE","","CD 146 OPUZEN, VIDONJE, NERETVANSKA KRAJINA"
"Popis_1","146","NERETVANSKA KRAJINA","","CD 146 OPUZEN, VIDONJE, NERETVANSKA KRAJINA"
"Popis_1","147","VIDONJE","","CD 147 VIDONJE, METKOVIĆ, NERETVANSKA KRAJINA"
"Popis_1","147","METKOVIĆ","","CD 147 VIDONJE, METKOVIĆ, NERETVANSKA KRAJINA"
"Popis_1","147","NERETVANSKA KRAJINA","","CD 147 VIDONJE, METKOVIĆ, NERETVANSKA KRAJINA"
"Popis_1","148","METKOVIĆ","","CD 148 METKOVIĆ, SLIVNO-RAVNO, ROGOTIN, NERETVANSKA KRAJINA"
"Popis_1","148","SLIVNO-RAVNO","","CD 148 METKOVIĆ, SLIVNO-RAVNO, ROGOTIN, NERETVANSKA KRAJINA"
"Popis_1","148","ROGOTIN","","CD 148 METKOVIĆ, SLIVNO-RAVNO, ROGOTIN, NERETVANSKA KRAJINA"
"Popis_1","148","NERETVANSKA KRAJINA","","CD 148 METKOVIĆ, SLIVNO-RAVNO, ROGOTIN, NERETVANSKA KRAJINA"
"Popis_1","149","ROGOTIN","","CD 149 ROGOTIN, BIJELI VIR, NERETVANSKA KRAJINA"
"Popis_1","149","BIJELI VIR","","CD 149 ROGOTIN, BIJELI VIR, NERETVANSKA KRAJINA"
"Popis_1","149","NERETVANSKA KRAJINA","","CD 149 ROGOTIN, BIJELI VIR, NERETVANSKA KRAJINA"
"Popis_1","150","BIJELI VIR","","CD 150 BIJELI VIR, VELJACI-GRAB-SINAC, HERCEGOVINA"
"Popis_1","150","VELJACI-GRAB-SINAC","","CD 150 BIJELI VIR, VELJACI-GRAB-SINAC, HERCEGOVINA"
"Popis_1","150","HERCEGOVINA","","CD 150 BIJELI VIR, VELJACI-GRAB-SINAC, HERCEGOVINA"
"Popis_1","151","TREBIŽAT","","CD 151 TREBIŽAT, HERCEGOVINA; DESNE I BOROVCI, DALMACIJA"
"Popis_1","151","HERCEGOVINA; DESNE I BOROVCI","","CD 151 TREBIŽAT, HERCEGOVINA; DESNE I BOROVCI, DALMACIJA"
"Popis_1","151","DALMACIJA","","CD 151 TREBIŽAT, HERCEGOVINA; DESNE I BOROVCI, DALMACIJA"
"Popis_1","152","PLOČE","","CD 152 PLOČE, DALMACIJA; ČAPLJINA, HERCEGOVINA"
"Popis_1","152","DALMACIJA; ČAPLJINA","","CD 152 PLOČE, DALMACIJA; ČAPLJINA, HERCEGOVINA"
"Popis_1","152","HERCEGOVINA","","CD 152 PLOČE, DALMACIJA; ČAPLJINA, HERCEGOVINA"
"Popis_2","","PUČIŠĆA","","PUČIŠĆA"
"Popis_2","","GORNJI HUMAC","","GORNJI HUMAC"
"Popis_2","","DONJI HUMAC","","DONJI HUMAC"
"Popis_2","","PRAŽNICE","","PRAŽNICE"
"Popis_2","","DOL 5b. POSTIRA","","DOL 5b. POSTIRA"
"Popis_2","","SPLITSKA","","SPLITSKA"
"Popis_2","","SUPETAR 7b. SELCA","","SUPETAR 7b. SELCA"
"Popis_2","","NOVO SELO","","NOVO SELO"
"Popis_2","","ŠKRIP","","ŠKRIP"
"Popis_2","","NEREŽIŠĆA","","NEREŽIŠĆA"
"Popis_2","","BOL","","BOL"
"Popis_2","","STARI GRAD","","STARI GRAD"
"Popis_2","","VRBOSKA","","VRBOSKA"
"Popis_2","","VRBANJ","","VRBANJ"
"Popis_2","","VRISNIK","","VRISNIK"
"Popis_2","","SVIRČE","","SVIRČE"
"Popis_2","","JELSA","","JELSA"
"Popis_2","","PITVE","","PITVE"
"Popis_2","","VELI VAROŠ","","VELI VAROŠ"
"Popis_2","","SOLIN","","SOLIN"
"Popis_2","","VRANJIC 4a. TROGIR – SOLIN (U kazalu navedeno pod 4a, ali u samom tekstu dokumenta nedostaje zaseban popis napjeva za ovu jedinicu) 4b. STOBREČ","","VRANJIC 4a. TROGIR – SOLIN (U kazalu navedeno pod 4a, ali u samom tekstu dokumenta nedostaje zaseban popis napjeva za ovu jedinicu) 4b. STOBREČ"
"Popis_2","","TROGIR","","TROGIR"
"Popis_2","","KLIS","","KLIS"
"Popis_2","","GORNJE SELO (OTOK ŠOLTA)","","GORNJE SELO (OTOK ŠOLTA)"
"Popis_2","","KAŠTEL ŠTAFILIĆ","","KAŠTEL ŠTAFILIĆ"
"Popis_2","","KAŠTEL NOVI","","KAŠTEL NOVI"
"Popis_2","","KAŠTEL STARI","","KAŠTEL STARI"
"Popis_2","","KAŠTEL LUKŠIĆ","","KAŠTEL LUKŠIĆ"
"Popis_2","","KAŠTEL KAMBELOVAC","","KAŠTEL KAMBELOVAC"
"Popis_2","","KRILO – JESENICE","","KRILO – JESENICE"
"Popis_2","","KLIS (Ponovno naveden u kazalu pod ovim brojem)","","KLIS (Ponovno naveden u kazalu pod ovim brojem)"
