izvor,cd_ili_redni_broj,napjevi,id_mjesta,mjesto,napomena,metaoznaka_snimke,poveznica_na_snimke
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 11,,baska,Baška,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd11
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 12,,jurandvor,Jurandvor,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd12
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 12,,baska,Baška,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd12
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 13,,vrbnik,Vrbnik,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd13
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 14,,vrbnik,Vrbnik,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd14
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 15,,dobrinj,Dobrinj,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd15
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 16,,dobrinj,Dobrinj,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd16
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 17,,dobrinj,Dobrinj,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd17
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 18,,dobrinj,Dobrinj,,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd18
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 19,,omisalj,Omišalj,Snimano u Rijeci,"snimio dr. V. Žganec, 1955.",https://stin.hr/portfolio-items/cd-11-20/#cd19
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 20,,baska-draga,Baška Draga (Draga Bašćanska),,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-11-20/#cd20
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 20,,dubasnica,Dubašnica,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-11-20/#cd20
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 20,,vrbnik,Vrbnik,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-11-20/#cd20
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 21,,vrbnik,Vrbnik,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd21
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 22,,vrbnik,Vrbnik,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd22
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 23,,vrbnik,Vrbnik,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd23
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 24,,vrbnik,Vrbnik,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd24
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 24,,baska,Baška,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd24
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 25,,banjol,Banjol,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd25
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 25,,lopar,Lopar,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd25
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 26,,lopar,Lopar,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd26
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 27,,banjol,Banjol,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd27
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 28,,novalja,Novalja,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd28
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 29,,novalja,Novalja,,"snimio dr. V. Žganec, 1956.",https://stin.hr/portfolio-items/cd-21-30/#cd29
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 30,,trogir,Trogir,,"snimio dr. V. Žganec, 1957.",https://stin.hr/portfolio-items/cd-21-30/#cd30
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 31,,trogir,Trogir,,"snimio dr. V. Žganec, 1957.",https://stin.hr/portfolio-items/cd-31-40/#cd31
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 32,,lanisce,Lanišće,,"snimio dr. V. Žganec, 1957.",https://stin.hr/portfolio-items/cd-31-40/#cd32
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 33,,lanisce,Lanišće,,"snimio dr. V. Žganec, 1957.",https://stin.hr/portfolio-items/cd-31-40/#cd33
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 34,,lanisce,Lanišće,,"snimio dr. V. Žganec, 1957.",https://stin.hr/portfolio-items/cd-31-40/#cd34
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 35,,lanisce,Lanišće,,"snimio dr. V. Žganec, 1957.",https://stin.hr/portfolio-items/cd-31-40/#cd35
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 35,,pazin,Pazin,,"snimio dr. V. Žganec, 1957.",https://stin.hr/portfolio-items/cd-31-40/#cd35
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 36,,hvar-grad,Hvar (grad),,"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-31-40/#cd36
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 36,,stari-grad-hvar,Stari Grad,,"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-31-40/#cd36
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 37,,stari-grad-hvar,Stari Grad,,"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-31-40/#cd37
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 37,,brusje,Brusje,,"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-31-40/#cd37
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 38,,brusje,Brusje,U izvoru 'Brusja',"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-31-40/#cd38
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 39,,brusje,Brusje,U izvoru 'Brusja',"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-31-40/#cd39
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 40,,brusje,Brusje,,"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-31-40/#cd40
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 40,,hvar-grad,Hvar (grad),,"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-31-40/#cd40
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 41,,brusje,Brusje,,"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-41-50/#cd41
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 41,,jelsa,Jelsa,,"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-41-50/#cd41
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 42,,jelsa,Jelsa,,"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-41-50/#cd42
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 43,,jelsa,Jelsa,,"snimio dr. V. Žganec, 1959.",https://stin.hr/portfolio-items/cd-41-50/#cd43
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 44,,hvar-grad,Hvar (grad),,"snimio dr. V. Žganec, 1961. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd44
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 45,,hvar-grad,Hvar (grad),,"snimio dr. V. Žganec, 1961. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd45
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 45,,brusje,Brusje,,"snimio dr. V. Žganec, 1961. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd45
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 46,,brusje,Brusje,,"snimio dr. V. Žganec, 1961. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd46
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 47,,vrisnik,Vrisnik,U izvoru 'Kukuljica (vjerojatno Kukljica)',"snimio dr. V. Žganec, 1963. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd47
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 47,,kukljica,Kukljica,U izvoru 'Kukuljica (vjerojatno Kukljica)',"snimio dr. V. Žganec, 1963. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd47
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 48,,kukljica,Kukljica,,"snimio dr. V. Žganec, 1963. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd48
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 48,,sestrunj,Sestrunj,,"snimio dr. V. Žganec, 1963. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd48
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 49,,sestrunj,Sestrunj,,"snimio dr. V. Žganec, 1963. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd49
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 49,,preko,Preko,,"snimio dr. V. Žganec, 1963. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd49
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 50,,preko,Preko,,"snimio dr. V. Žganec, 1963. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-41-50/#cd50
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 51,,cara,Čara,,"snimio Stjepan Stepanov, 1963.",https://stin.hr/portfolio-items/cd-51-60/#cd51
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 51,,smokvica,Smokvica,,"snimio Stjepan Stepanov, 1963.",https://stin.hr/portfolio-items/cd-51-60/#cd51
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 52,,smokvica,Smokvica,,"snimio Stjepan Stepanov, 1963.",https://stin.hr/portfolio-items/cd-51-60/#cd52
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 52,,cara,Čara,,"snimio Stjepan Stepanov, 1963.",https://stin.hr/portfolio-items/cd-51-60/#cd52
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 52,,racisce,Račišće,,"snimio Stjepan Stepanov, 1963.",https://stin.hr/portfolio-items/cd-51-60/#cd52
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 53,,cara,Čara,,"snimio Stjepan Stepanov, 1963.",https://stin.hr/portfolio-items/cd-51-60/#cd53
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 53,,racisce,Račišće,,"snimio Stjepan Stepanov, 1963.",https://stin.hr/portfolio-items/cd-51-60/#cd53
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 53,,zrnovo,Žrnovo,,"snimio Stjepan Stepanov, 1963.",https://stin.hr/portfolio-items/cd-51-60/#cd53
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 53,,ston,Ston,,"snimio Stjepan Stepanov, 1963.",https://stin.hr/portfolio-items/cd-51-60/#cd53
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 54,,omisalj,Omišalj,,"snimio Mate Lešćan, 1964. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-51-60/#cd54
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 55,,omisalj,Omišalj,,"snimio Mate Lešćan, 1964. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-51-60/#cd55
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 56,,kastel-stafilic,Kaštel Štafilić,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-51-60/#cd56
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 57,,kastel-stafilic,Kaštel Štafilić,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-51-60/#cd57
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 58,,kastel-stafilic,Kaštel Štafilić,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-51-60/#cd58
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 59,,kastel-stafilic,Kaštel Štafilić,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-51-60/#cd59
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 59,,kastel-kambelovac,Kaštel Kambelovac,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-51-60/#cd59
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 59,,kastel-stari,Kaštel Stari,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-51-60/#cd59
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 60,,kastel-stari,Kaštel Stari,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-51-60/#cd60
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 60,,kastel-sucurac,Kaštel Sućurac,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-51-60/#cd60
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 61,,kastel-sucurac,Kaštel Sućurac,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd61
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 61,,vranjic,Vranjic,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd61
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 62,,vranjic,Vranjic,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd62
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 62,,kastel-luksic,Kaštel Lukšić,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd62
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 62,,kastel-kambelovac,Kaštel Kambelovac,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd62
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 63,,kastel-kambelovac,Kaštel Kambelovac,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd63
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 63,,kastel-stari,Kaštel Stari,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd63
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 64,,kastel-stari,Kaštel Stari,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd64
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 64,,kastel-luksic,Kaštel Lukšić,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd64
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 64,,kastel-kambelovac,Kaštel Kambelovac,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd64
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 65,,kastel-kambelovac,Kaštel Kambelovac,,"snimio Stjepan Stepanov, 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd65
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 66,,pridraga,Pridraga,,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd66
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 67,,pridraga,Pridraga,,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd67
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 67,,pag-grad,Pag (grad),,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd67
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 68,,pag-grad,Pag (grad),,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd68
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 69,,pag-grad,Pag (grad),,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd69
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 70,,pag-grad,Pag (grad),,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd70
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 70,,novi-vinodolski,Novi Vinodolski,,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-61-70/#cd70
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 71,,novi-vinodolski,Novi Vinodolski,,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-71-80/#cd71
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 72,,novi-vinodolski,Novi Vinodolski,,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-71-80/#cd72
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 73,,petrcane,Petrčane,,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-71-80/#cd73
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 74,,orlec,Orlec,,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-71-80/#cd74
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 75,,orlec,Orlec,,"snimio Jerko Bezić, XI. 1964.",https://stin.hr/portfolio-items/cd-71-80/#cd75
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 76,,rogoznica,Rogoznica,,"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-71-80/#cd76
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 77,,rogoznica,Rogoznica,,"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-71-80/#cd77
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 77,,primosten,Primošten,,"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-71-80/#cd77
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 78,,rogoznica,Rogoznica,,"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-71-80/#cd78
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 78,,komiza,Komiža,,"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-71-80/#cd78
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 79,,komiza,Komiža,,"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-71-80/#cd79
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 79,,vis-grad,Vis (grad),,"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-71-80/#cd79
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 80,,vis-grad,Vis (grad),"U izvoru 'Luka i Šepurine, otok Prvić'","snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-71-80/#cd80
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 80,,prvic-luka,Prvić Luka,"U izvoru 'Luka i Šepurine, otok Prvić'","snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-71-80/#cd80
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 80,,sepurine,Šepurine,"U izvoru 'Luka i Šepurine, otok Prvić'","snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-71-80/#cd80
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 81,,prvic-luka,Prvić Luka,U izvoru 'Prvić i Šepurine',"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-81-90/#cd81
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 81,,sepurine,Šepurine,U izvoru 'Prvić i Šepurine',"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-81-90/#cd81
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 82,,sepurine,Šepurine,,"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-81-90/#cd82
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 82,,vodice,Vodice,,"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-81-90/#cd82
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 83,,vodice,Vodice,,"snimio Stjepan Stepanov, 1965.",https://stin.hr/portfolio-items/cd-81-90/#cd83
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 84,,duce-rogac,Duće – Rogač,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-81-90/#cd84
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 85,,podstrana,Podstrana (Sv. Martin – Šćadine),Sv. Martin – Šćadine,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-81-90/#cd85
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 86,,podstrana,Podstrana (Sv. Martin – Šćadine),Sv. Martin – Šćadine,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-81-90/#cd86
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 87,,gata,Gata,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-81-90/#cd87
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 88,,tugare,Tugare,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-81-90/#cd88
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 89,,tugare,Tugare,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-81-90/#cd89
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 90,,srijane,Srijane – Vela Njiva,Srijane – Vela Njiva,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-81-90/#cd90
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 91,,jesenice-sumpetar,Jesenice – Sumpetar,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-91-100/#cd91
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 92,,jesenice-sumpetar,Jesenice – Sumpetar,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-91-100/#cd92
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 93,,jesenice-sumpetar,Jesenice – Sumpetar,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-91-100/#cd93
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 94,,jesenice-sumpetar,Jesenice – Sumpetar,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-91-100/#cd94
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 95,,jesenice-sumpetar,Jesenice – Sumpetar,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-91-100/#cd95
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 96,,kostanje,Kostanje,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-91-100/#cd96
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 97,,kostanje,Kostanje,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-91-100/#cd97
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 98,,kostanje,Kostanje,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-91-100/#cd98
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 99,,kostanje,Kostanje,,"snimio Stjepan Stepanov, 1972.",https://stin.hr/portfolio-items/cd-91-100/#cd99
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 100 A,,vrbnik,Vrbnik,,"snimio Mate Lešćan, 1972. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-91-100/#cd100
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 100 B,,vrbnik,Vrbnik,,"snimio Mate Lešćan, 1972. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-91-100/#cd100
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 100 C,,vrbnik,Vrbnik,,"snimio Mate Lešćan, 1972. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-91-100/#cd100
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 100 C,,baska-draga,Baška Draga (Draga Bašćanska),,"snimio Mate Lešćan, 1972. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-91-100/#cd100
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 100 C,,jurandvor,Jurandvor,,"snimio Mate Lešćan, 1972. (presnimio S. Stepanov, 1976.)",https://stin.hr/portfolio-items/cd-91-100/#cd100
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 101,,skrpcici,Skrpčići (župa Linardići),,"snimio Stjepan Stepanov, 1973.",https://stin.hr/portfolio-items/cd-101-110/#cd101
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 102,,skrpcici,Skrpčići (župa Linardići),,"snimio Stjepan Stepanov, 1973.",https://stin.hr/portfolio-items/cd-101-110/#cd102
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 103,,sv-vid,Sveti Vid (Sv. Vid-Miholjice),,"snimio Stjepan Stepanov, 1973.",https://stin.hr/portfolio-items/cd-101-110/#cd103
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 104,,bogovici,Bogovići (Dubašnica),,"snimio Stjepan Stepanov, 1973.",https://stin.hr/portfolio-items/cd-101-110/#cd104
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 105,,kras,Kras,,"snimio Stjepan Stepanov, 1973.",https://stin.hr/portfolio-items/cd-101-110/#cd105
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 106,,kras,Kras,,"snimio Stjepan Stepanov, 1973.",https://stin.hr/portfolio-items/cd-101-110/#cd106
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 106,,rasopasno,Rasopasno,,"snimio Stjepan Stepanov, 1973.",https://stin.hr/portfolio-items/cd-101-110/#cd106
Popisni list br. 1 (Popis mjesta snimanja po CD-u),CD 107,,dobrinj,Dobrinj,,"snimio Stjepan Stepanov, 1973.",https://stin.hr/portfolio-items/cd-101-110/#cd107
